Facultad,Carrera,Precio,Semestre,Materias
Facultad De Ciencias Administrativas Y Economicas,Tecnica Profesional En Procesos De Comercio Exterior Y Logistica Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.2 SMMLV,SEMESTRE 1,Inglés I;Matemática;Fundamentos de comercio exterior;Fundamentos de administración;Información básica
Facultad De Ciencias Administrativas Y Economicas,Tecnica Profesional En Procesos De Comercio Exterior Y Logistica Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.2 SMMLV,SEMESTRE 2,Inglés I;Fundamentos de logística;Gestión de la cadena de abastecimiento;Sistemas de información para comercio exterior y logística;Lengua materna
Facultad De Ciencias Administrativas Y Economicas,Tecnica Profesional En Procesos De Comercio Exterior Y Logistica Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.2 SMMLV,SEMESTRE 3,Inglés III;Procesos de exportación;Procesos de empaque y embalaje;Aranceles;Fundamentos de economía
Facultad De Ciencias Administrativas Y Economicas,Tecnica Profesional En Procesos De Comercio Exterior Y Logistica Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.2 SMMLV,SEMESTRE 4,Inglés IV;Procesos de importación;Distribución física internacional;Electiva;Emprendimiento
Facultad De Ciencias Administrativas Y Economicas,Tecnica Profesional En Procesos De Comercio Exterior Y Logistica Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.2 SMMLV,Título,Técnico profesional en gestión del comercio exterior y logística por ciclos propedéuticos
Facultad De Ciencias Administrativas Y Economicas,Tecnica Profesional En Procesos Financieros Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.2 SMMLV,SEMESTRE 1,Matemáticas operativas;Sistemas y procesos contables;Informática aplicada;Inglés I;Humanidades;Lengua materna
Facultad De Ciencias Administrativas Y Economicas,Tecnica Profesional En Procesos Financieros Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.2 SMMLV,SEMESTRE 2,Emprendimiento;Principios de investigación;Estadística;Contabilidad financiera;Inglés II;Procesos documentales;Habilidades comunicativas (propedéutica);Administración
Facultad De Ciencias Administrativas Y Economicas,Tecnica Profesional En Procesos Financieros Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.2 SMMLV,SEMESTRE 3,Costos;Inglés III;Economía;Paquetes contables;Legislación comercial y financiera;Electiva I;Fundamentos de mercadeo;Desarrollo humano (propedéutica)
Facultad De Ciencias Administrativas Y Economicas,Tecnica Profesional En Procesos Financieros Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.2 SMMLV,SEMESTRE 4,Presupuesto;Economía colombiana;Inglés IV;Moneda y banca;Investigación de mercados;Electiva II (Opción de grado);Propedéutica investigación I
Facultad De Ciencias Administrativas Y Economicas,Tecnica Profesional En Procesos Financieros Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.2 SMMLV,Título,Técnico profesional en procesos financieros por ciclos propedéuticos
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Gestion Comercial,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 1,Inglés I;Matemáticas I;Fundamentos de administración;Fundamentos de economía;Fundamentos de mercadeo
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Gestion Comercial,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 2,Inglés II;Estadística;Presupuesto;Servicio al cliente;Lengua materna
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Gestion Comercial,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 3,Inglés III;Contabilidad;Matemáticas financieras;Comportamiento del consumidor;Legislación comercial;Electiva
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Gestion Comercial,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 4,"Inglés IV;Metodología de la investigación;Gestión, calidad y servicios;Ventas y relaciones públicas;Emprendimiento"
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Gestion Comercial,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 5,Inglés V;Investigación comercial;Marketing digital;Merchandising;Logística y canales de distribución
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Gestion Comercial,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 6,Inglés VI;Plan de negocios;Planeación y gestión estratégica;Práctica y seminario de grado;Innovación aplicada al marketing
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Gestion Financiera Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 1,Informática Aplicada;Sistemas y Procesos Contables;Inglés I;Matemáticas Operativas;Lengua Materna;Humanidades
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Gestion Financiera Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 2,Emprendimiento;Propedéutica Habilidades Comunicativas;Contabilidad Financiera;Proceso Documental;Principios de Investigación;Administración;Inglés II;Estadística
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Gestion Financiera Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 3,Propedéutica Desarrollo Humano;Economía;Electiva I;Costos;Fundamentos de Mercadeo;Inglés III;Legislación Comercial y Financiera;Paquetes Contables
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Gestion Financiera Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 4,Economía Colombiana;Moneda y Banca;Investigación de Mercados;Propedéutica Investigación I;Electiva II (Opción de grado);Presupuesto;Inglés IV
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Gestion Financiera Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 5,Matemáticas Financieras;Gestión de Calidad y Servicio;Cálculo;Análisis y Gestión Financiera;Inglés V;Capital de Trabajo
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Gestion Financiera Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 6,Práctica Administración Financiera;Mercados Financieros;Planeación y Gestión Estratégica;Inglés VI;Formulación y Evaluación de Proyectos;Auditoría
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Procesos Comercio Exterior Y Logistica Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 1,Inglés I;Matemáticas I;Fundamentos de Comercio Exterior;Fundamentos de Administración;Informática Básica
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Procesos Comercio Exterior Y Logistica Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 2,Inglés II;Fundamentos de Logística;Gestión de la Cadena de Abastecimiento;Sistemas de Información para Comercio Exterior y Logística;Lengua Materna
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Procesos Comercio Exterior Y Logistica Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 3,Inglés III;Procesos de Exportación;Procesos de Empaques y Embalajes;Aranceles;Fundamentos de Economía
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Procesos Comercio Exterior Y Logistica Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 4,Inglés IV;Procesos de Importación;Distribución Física Internacional;Electiva;Emprendimiento
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Procesos Comercio Exterior Y Logistica Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 5,Inglés V;Régimen Cambiario y Aduanero;Gestión del Riesgo en Comercio Exterior;Fundamentos de Mercadeo;Costos y Cotizaciones Internacionales;Estadística
Facultad De Ciencias Administrativas Y Economicas,Tecnologia En Procesos Comercio Exterior Y Logistica Ciclo Propedeutico,Valor Inscripción $14.100 Valor matrícula 1.5 SMMLV,SEMESTRE 6,Inglés VI;Inteligencia de Mercados Internacionales;E-Commerce;Humanidades;Práctica Comercio Exterior y Logística;Metodología de la Investigación
Facultad De Derecho Y Ciencias Forenses,Maestria En Ciencias Forenses Y Criminalistica,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 1,Farmacodinámica y biotransferencia de las drogas de abuso;Evidencias forenses y procesos criminalísticos;Medicina legal en infancia y adolescencia;Investigación de la muerte por causa externa
Facultad De Derecho Y Ciencias Forenses,Maestria En Ciencias Forenses Y Criminalistica,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 2,Protocolo de investigación criminal y forense;Manejo de evidencia digital;Valoración del daño corporal;Seminario de investigación
Facultad De Derecho Y Ciencias Forenses,Maestria En Ciencias Forenses Y Criminalistica,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 3,Entomofauna cadavérica;Investigación y búsqueda de NNs y desaparecidos;Patología y traumatología forense;Diseño experimental en ciencias forenses y criminalística
Facultad De Derecho Y Ciencias Forenses,Maestria En Ciencias Forenses Y Criminalistica,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 4,Crédito de movilidad;La autopsia forense en investigación criminal;Trabajo de grado
Facultad De Derecho Y Ciencias Forenses,Maestria En Ciencias Forenses Y Criminalistica,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 1,Farmacodinámica y biotransferencia de las drogas de abuso;Evidencias forenses y procesos criminalísticos;Medicina legal en infancia y adolescencia;Investigación de la muerte por causa externa
Facultad De Derecho Y Ciencias Forenses,Maestria En Ciencias Forenses Y Criminalistica,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 2,Protocolo de investigación criminal y forense;Manejo de evidencia digital;Psicologia peril y criminal;Seminario de investigación
Facultad De Derecho Y Ciencias Forenses,Maestria En Ciencias Forenses Y Criminalistica,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 3,Entomofauna cadavérica;Investigación y búsqueda de NNs y desaparecidos;Investigación del delito sexual y la violencia intrafamiliar;Diseño experimental en ciencias forenses y criminalística
Facultad De Derecho Y Ciencias Forenses,Maestria En Ciencias Forenses Y Criminalistica,Valor Inscripción $153.700 Valor matrícula 7 SMMLV,SEMESTRE 4,Crédito de movilidad;Delitos transnacionales;Trabajo de grado
Facultad De Derecho Y Ciencias Forenses,Profesional En Gestion De La Seguridad Y Salud En El Trabajo,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 1,Anatomía y fisiología del trabajo;Fundamentos en constitucional;Introducción a la seguridad y salud en el trabajo;Estadística;Inglés
Facultad De Derecho Y Ciencias Forenses,Profesional En Gestion De La Seguridad Y Salud En El Trabajo,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 2,Riesgo biológico;Legislación laboral;Riesgo químico;Sistemas integrados de gestión;Inglés II
Facultad De Derecho Y Ciencias Forenses,Profesional En Gestion De La Seguridad Y Salud En El Trabajo,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 3,Epidemiología;Régimen de la seguridad seguridad social;Riesgo Ergonómico;Administración en seguridad y salud en el trabajo;Inglés II
Facultad De Derecho Y Ciencias Forenses,Profesional En Gestion De La Seguridad Y Salud En El Trabajo,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 4,Medicina preventiva y del trabajo;Bioderecho y bioética;Riesgo mecánico y eléctrico;Procesos y procedimientos en seguridad y salud en el trabajo;Inglés IV
Facultad De Derecho Y Ciencias Forenses,Profesional En Gestion De La Seguridad Y Salud En El Trabajo,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 5,Programa de promoción y prevención;Legislación ambiental;Riesgo psicosocial;Sistemas de gestión de la seguridad y salud en el trabajo;Inglés V
Facultad De Derecho Y Ciencias Forenses,Profesional En Gestion De La Seguridad Y Salud En El Trabajo,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 6,Introducción a la investigación;Legislación laboral internacional;Riesgo público;Gestión ambiental;Inglés VI
Facultad De Derecho Y Ciencias Forenses,Profesional En Gestion De La Seguridad Y Salud En El Trabajo,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 7,Construcción de proyectos de investigación;Resolución de conflictos;Investigación de accidentes de trabajo;Gestión en trabajo de alto riesgo;Electiva I
Facultad De Derecho Y Ciencias Forenses,Profesional En Gestion De La Seguridad Y Salud En El Trabajo,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 8,Emprendimiento;Derecho disciplinario y pruebas judiciales;Práctica profesional I;Auditoria en seguridad y salud en el trabajo;Electiva II
Facultad De Derecho Y Ciencias Forenses,Profesional En Gestion De La Seguridad Y Salud En El Trabajo,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 9,Práctica profesional II;Electiva III
Facultad De Derecho Y Ciencias Forenses,Profesional En Criminalistica,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 1,Introducción al derecho;Matemáticas;Fotografía y técnicas audiovisuales;Historia de la criminalística y sus métodos;Biología forense
Facultad De Derecho Y Ciencias Forenses,Profesional En Criminalistica,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 2,Derecho constitucional;Física forense;Georreferenciación;Anatomía humana;Entomología forense
Facultad De Derecho Y Ciencias Forenses,Profesional En Criminalistica,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 3,Derecho penal general I;Balística científica;Química;Informática forense;Emprendimiento;Inglés I
Facultad De Derecho Y Ciencias Forenses,Profesional En Criminalistica,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 4,Derecho penal general II;Documentología y Grafología;Química forense;Lofoscopia;Antropología forense;Inglés II
Facultad De Derecho Y Ciencias Forenses,Profesional En Criminalistica,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 5,Derecho penal especial;Estadística;Toxicología forense;Electiva I;Inglés III
Facultad De Derecho Y Ciencias Forenses,Profesional En Criminalistica,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 6,Derecho penal Especial II;Metodología de la investigación;Medicinal Forense;Electiva II;Inglés IV
Facultad De Derecho Y Ciencias Forenses,Profesional En Criminalistica,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 7,Pruebas judiciales;Investigación y manejo de la literatura científica;Criminalística de campo;Bases psico-biológicas de comportamiento;Electiva III;Inglés V
Facultad De Derecho Y Ciencias Forenses,Profesional En Criminalistica,Valor Inscripción $14.100Valor matrícula 2 SMMLV,SEMESTRE 8,Procedimiento penal;Evidencias y nuevas tendencias en criminalística;Criminalística de laboratorio;Electiva IV;Inglés VI
